Nama PT,Prodies
Institut Teknologi Sepuluh Nopember,Teknik Lingkungan (S3)
Institut Teknologi Sepuluh Nopember,Teknik Material (S1)
Institut Teknologi Sepuluh Nopember,Teknik Material dan Metalurgi (S3)
Institut Teknologi Sepuluh Nopember,Teknik Material dan Metalurgi (S2)
Institut Teknologi Sepuluh Nopember,Teknik Mesin (S2)
Institut Teknologi Sepuluh Nopember,Teknik Mesin (S3)
Institut Teknologi Sepuluh Nopember,Teknik Mesin (D3)
Institut Teknologi Sepuluh Nopember,Teknik Mesin (S1)
Institut Teknologi Sepuluh Nopember,Teknik Pangan (S1)
Institut Teknologi Sepuluh Nopember,Teknik Perkapalan (S1)
Institut Teknologi Sepuluh Nopember,Teknik Perkapalan (S2)
Institut Teknologi Sepuluh Nopember,Teknik Sipil (D4)
Institut Teknologi Sepuluh Nopember,Teknik Sipil (D3)
Institut Teknologi Sepuluh Nopember,Teknik Sipil (S2)
Institut Teknologi Sepuluh Nopember,Teknik Sipil (S1)
Institut Teknologi Sepuluh Nopember,Teknik Sistem Perkapalan (S3)
Institut Teknologi Sepuluh Nopember,Teknik Sistem Perkapalan (S2)
Institut Teknologi Sepuluh Nopember,Teknik Sistem Perkapalan (S1)
Institut Teknologi Sepuluh Nopember,Teknik Telekomunikasi (S1)
Institut Teknologi Sepuluh Nopember,Teknik Transportasi Laut (S1)
Institut Teknologi Sepuluh Nopember,Teknik Transportasi Laut (S2)
Institut Teknologi Sepuluh Nopember,Teknologi Informasi (S1)
Institut Teknologi Sepuluh Nopember,Teknologi Kedokteran (S1)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Instrumentasi (D4)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Kimia Industri (D4)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Konstruksi Bangunan Air (D4)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Konversi Energi (D4)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Manufaktur (D4)
Institut Teknologi Sepuluh Nopember,Teknologi Rekayasa Otomasi (D4)
Sekolah Tinggi Teknologi Bina Tunggal,Sistem Informasi (S1)
Sekolah Tinggi Teknologi Bina Tunggal,Teknik Elektro (S1)
Sekolah Tinggi Teknologi Bina Tunggal,Teknik Industri (S1)
Sekolah Tinggi Teknologi Bina Tunggal,Teknik Listrik (D3)
Sekolah Tinggi Teknologi Bina Tunggal,Teknik Mesin (S1)
Sekolah Tinggi Teknologi Bina Tunggal,Teknik Mesin (D3)
Sekolah Tinggi Teologi Huperetes Batam,Pendidikan Agama Kristen (S2)
Sekolah Tinggi Teologi Huperetes Batam,Pendidikan Agama Kristen (S1)
Sekolah Tinggi Teologi Huperetes Batam,Teologi (S2)
Sekolah Tinggi Teologi Huperetes Batam,Teologi (Akademik) (S1)
Sekolah Tinggi Ekonomi dan Bisnis Islam Lampung,Ekonomi Syariah (S1)
Sekolah Tinggi Ekonomi dan Bisnis Islam Lampung,Perbankan Syariah (S1)
Universitas Pignatelli Triputra,Akuntansi (S1)
Universitas Pignatelli Triputra,Akuntansi (D3)
Universitas Pignatelli Triputra,Bahasa Inggris (D3)
Universitas Pignatelli Triputra,Informatika (S1)
Universitas Pignatelli Triputra,Manajemen (S1)
Universitas Pignatelli Triputra,Manajemen Keuangan (D3)
Universitas Pignatelli Triputra,Rekayasa Perangkat Lunak (S1)
Universitas Pignatelli Triputra,Sistem Informasi (S1)
Politeknik Banjarnegara,Agroindustri (D3)
Politeknik Banjarnegara,Agroteknologi (D3)
Politeknik Banjarnegara,Kebidanan (D3)
Politeknik Banjarnegara,Kesehatan Lingkungan (D3)
STKIP PANCAKARYA,Bahasa dan Sastra Indonesia (S1)
STKIP PANCAKARYA,Pendidikan Bahasa Inggris (S1)
AMIK Andalan Jakarta,Komputerisasi Akuntansi (D3)
AMIK Andalan Jakarta,Manajemen Informatika (D3)
AMIK Andalan Jakarta,Teknik Komputer (D3)
STIE Muhammadiyah Paciran Lamongan,Akuntansi (S1)
STIE Muhammadiyah Paciran Lamongan,Manajemen (S1)
Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo,Farmasi (S1)
AMIK New Media,Manajemen Informatika (D3)
AMIK New Media,Teknik Informatika (D3)
"STIT Hamzah Al-Fansuri Sibolga Barus (STIT HASIBA) Tapanuli Tengah, Sumatera Uta",Pendidikan Agama Islam (S1)
"STIT Hamzah Al-Fansuri Sibolga Barus (STIT HASIBA) Tapanuli Tengah, Sumatera Uta",Pendidikan Guru Madrasah Ibtidaiyah (S1)
Universitas Cenderawasih,Administrasi Perkantoran (D3)
Universitas Cenderawasih,Akuntansi (S1)
Universitas Cenderawasih,Akuntansi (S2)
Universitas Cenderawasih,Antropologi (S2)
Universitas Cenderawasih,Antropologi Sosial (S1)
Universitas Cenderawasih,Bimbingan dan Konseling (S2)
Universitas Cenderawasih,Bimbingan Dan Konseling (S1)
Universitas Cenderawasih,Biologi (S2)
Universitas Cenderawasih,Biologi (S1)
Universitas Cenderawasih,Ekonomi Pembangunan (S1)
Universitas Cenderawasih,Farmasi (S1)
Universitas Cenderawasih,Fisika (S1)
Universitas Cenderawasih,Geofisika (S1)
Universitas Cenderawasih,Hubungan Internasional (S1)
Universitas Cenderawasih,Hubungan Internasional (Kampus Kabupaten Biak) (S1)
Universitas Cenderawasih,Ilmu Administrasi Negara (S1)
Universitas Cenderawasih,Ilmu Administrasi Publik (S2)
Universitas Cenderawasih,Ilmu Ekonomi (S2)
Universitas Cenderawasih,Ilmu Ekonomi (S3)
Universitas Cenderawasih,Ilmu Hukum (S1)
Universitas Cenderawasih,Ilmu Hukum (S2)
Universitas Cenderawasih,Ilmu Kelautan (S1)
Universitas Cenderawasih,Ilmu Keolahragaan (S1)
Universitas Cenderawasih,Ilmu Keperawatan (S1)
Universitas Cenderawasih,Ilmu Kesehatan Masyarakat (S2)
Universitas Cenderawasih,Ilmu Kesehatan Masyarakat (S1)
Universitas Cenderawasih,Ilmu Kesejahteraan Sosial (S1)
Universitas Cenderawasih,Ilmu Manajemen (S3)
Universitas Cenderawasih,Ilmu Pemerintahan (S1)
Universitas Cenderawasih,Ilmu Perikanan (S1)
Universitas Cenderawasih,Ilmu Perpustakaan (S1)
Universitas Cenderawasih,Ilmu Sosial (S3)
Universitas Cenderawasih,Kebijakan Publik (S2)
Universitas Cenderawasih,Keperawatan (D3)
Universitas Cenderawasih,Keuangan Daerah (S2)
Universitas Cenderawasih,Kimia (S1)
Universitas Cenderawasih,Manajemen (S1)
Universitas Cenderawasih,Manajemen (S2)
Universitas Cenderawasih,Manajemen Administrasi Perkantoran (S1)
Universitas Cenderawasih,Manajemen Koperasi (S2)
Universitas Cenderawasih,Manajemen Pendidikan (S1)
Universitas Cenderawasih,Manajemen Pendidikan (S2)
Universitas Cenderawasih,Matematika (S1)
Universitas Cenderawasih,Pariwisata (S1)
Universitas Cenderawasih,Pendidikan Bahasa Dan Sastra Indonesia (S1)
Universitas Cenderawasih,Pendidikan Bahasa Dan Sastra Indonesia (S2)
Universitas Cenderawasih,Pendidikan Bahasa Inggris (S1)
Universitas Cenderawasih,Pendidikan Bahasa Inggris (S2)
Universitas Cenderawasih,Pendidikan Biologi (S1)
Universitas Cenderawasih,Pendidikan Dasar (S2)
Universitas Cenderawasih,Pendidikan Dokter (S1)
Universitas Cenderawasih,Pendidikan Fisika (S1)
Universitas Cenderawasih,Pendidikan Geografi (S1)
Universitas Cenderawasih,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
Universitas Cenderawasih,Pendidikan Guru Sekolah Dasar (S1)
Universitas Cenderawasih,Pendidikan Ilmu Pengetahuan Sosial (S2)
Universitas Cenderawasih,Pendidikan IPA (S2)
Universitas Cenderawasih,"Pendidikan Jasmani, Kesehatan & Rekreasi (S1)"
Universitas Cenderawasih,Pendidikan Kepelatihan Olahraga (S1)
Universitas Cenderawasih,Pendidikan Kewarganegaraan (S2)
Universitas Cenderawasih,Pendidikan Kimia (S1)
Universitas Cenderawasih,Pendidikan Matematika (S2)
Universitas Cenderawasih,Pendidikan Matematika (S1)
Universitas Cenderawasih,Pendidikan Olahraga (S2)
Universitas Cenderawasih,Pendidikan Pancasila Dan Kewarganegaraan (S1)
Universitas Cenderawasih,Pendidikan Profesi Guru (Profesi)
Universitas Cenderawasih,Pendidikan Sejarah (S1)
Universitas Cenderawasih,Pengelolaan Sumberdaya Alam dan Lingkungan (S2)
Universitas Cenderawasih,Perencanaan Wilayah dan Kota (S2)
Universitas Cenderawasih,PJJ Pendidikan Guru Sekolah Dasar (S1)
Universitas Cenderawasih,Planologi (S1)
Universitas Cenderawasih,Profesi Dokter (Profesi)
Universitas Cenderawasih,Profesi Ners (Profesi)
Universitas Cenderawasih,PSKGJ Pendidikan Guru Sekolah Dasar(PGSD) (S1)
Universitas Cenderawasih,PSKGJ Pendidikan Sejarah (S1)
Universitas Cenderawasih,Rekayasa Energi Terbarukan (S2)
Universitas Cenderawasih,Sistem Informasi (S1)
Universitas Cenderawasih,Sosiologi (S2)
Universitas Cenderawasih,Sosiologi (S1)
Universitas Cenderawasih,Statistika (S1)
Universitas Cenderawasih,Teknik Elektro (S1)
Universitas Cenderawasih,Teknik Elektronika (D3)
Universitas Cenderawasih,Teknik Geofisika (S1)
Universitas Cenderawasih,Teknik Geologi (S1)
Universitas Cenderawasih,Teknik Mesin (S1)
Universitas Cenderawasih,Teknik Mesin (D3)
Universitas Cenderawasih,Teknik Mineral (D3)
Universitas Cenderawasih,Teknik Pertambangan (S1)
Universitas Cenderawasih,Teknik Sipil (S2)
Universitas Cenderawasih,Teknik Sipil (D3)
Universitas Cenderawasih,Teknik Sipil (S1)
Universitas Cenderawasih,Teknologi Listrik (D3)
Universitas Cenderawasih,Teknologi Pangan (S1)
STMIK Bina Insani,Manajemen Informatika (D3)
STMIK Bina Insani,Sistem Informasi (S1)
STMIK Bina Insani,Teknik Informatika (S1)
Akademi Kebidanan Pelita Ilmu Depok,Kebidanan (D3)
Universitas Santo Borromeus,Bisnis Digital (S1)
Universitas Santo Borromeus,Farmasi (D3)
Universitas Santo Borromeus,Fisioterapi (S1)
Universitas Santo Borromeus,Gizi (S1)
Universitas Santo Borromeus,Ilmu Keperawatan (S1)
Universitas Santo Borromeus,Keperawatan (D3)
Universitas Santo Borromeus,Kewirausahaan (S1)
Universitas Santo Borromeus,Pendidikan Profesi Ners (Profesi)
Universitas Santo Borromeus,Perekam Dan Informasi Kesehatan (D3)
Universitas Bale Bandung,Agribisnis (S1)
Universitas Bale Bandung,Agroteknologi (S1)
Universitas Bale Bandung,Akuntansi (S1)
Universitas Bale Bandung,Ilmu Keperawatan (S1)
Universitas Bale Bandung,Ilmu Pemerintahan (S1)
Universitas Bale Bandung,Matematika (S1)
Universitas Bale Bandung,Pendidikan Bahasa Dan Sastra Indonesia (S1)
Universitas Bale Bandung,Pendidikan Bahasa Inggris (S1)
Universitas Bale Bandung,Pendidikan Geografi (S1)
Universitas Bale Bandung,Pendidikan Ips (S1)
Universitas Bale Bandung,Sistem Informasi (S1)
Universitas Bale Bandung,Teknik Informatika (S1)
Universitas Bale Bandung,Teknologi Pangan (S1)
Sekolah Tinggi Ilmu Kesehatan Papua,Analis Kesehatan (D3)
Sekolah Tinggi Ilmu Kesehatan Papua,Farmasi (S1)
Sekolah Tinggi Ilmu Kesehatan Papua,Ilmu Keperawatan (S1)
Sekolah Tinggi Ilmu Kesehatan Papua,Kesehatan Masyarakat (S1)
Sekolah Tinggi Ilmu Kesehatan Papua,Keselamatan dan Kesehatan Kerja (S1)
Sekolah Tinggi Ilmu Kesehatan Papua,Pendidikan Profesi Ners (Profesi)
Sekolah Tinggi Ilmu Kesehatan Papua,Teknologi Laboratorium Medis (D3)
STIMIK Tunas Bangsa Banjarnegara,Informatika (S1)
STIMIK Tunas Bangsa Banjarnegara,Sistem Informasi (S1)
STIMIK Tunas Bangsa Banjarnegara,Teknik Informatika (S1)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Ekonomi Syariah (S1)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Hukum Ekonomi Syariah (Mua'amalah) (S1)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Pendidikan Agama Islam (S2)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Pendidikan Agama Islam (S1)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Pendidikan Guru Madrasah Ibtidaiyah (S1)
Institut Agama Islam Pangeran Dharma Kusuma Segeran Indramayu,Pendidikan Islam Anak Usia Dini (S1)
Universitas Waskita Dharma,Administrasi Publik (S2)
Universitas Waskita Dharma,Bisnis Digital (S1)
Universitas Waskita Dharma,Ilmu Administrasi Negara (S1)
Universitas Waskita Dharma,Ilmu Pertanian (S1)
Universitas Waskita Dharma,Kimia (S1)
Universitas Waskita Dharma,Peternakan (S1)
Universitas Waskita Dharma,Teknologi Informasi (S1)
STT Baptis Independen Jakarta,Pendidikan Agama Kristen (S1)
STT Baptis Independen Jakarta,Teologi (Akademik) (S1)
Universitas Slamet Riyadi,Administrasi Publik (S2)
Universitas Slamet Riyadi,Agroteknologi (S1)
Universitas Slamet Riyadi,Akuntansi (S1)
Universitas Slamet Riyadi,Bahasa Inggris (D3)
Universitas Slamet Riyadi,Bimbingan Dan Konseling (S1)
Universitas Slamet Riyadi,Ilmu Administrasi Negara (S1)
Universitas Slamet Riyadi,Ilmu Hubungan Internasional (S1)
Universitas Slamet Riyadi,Ilmu Hukum (S1)
Universitas Slamet Riyadi,Ilmu Hukum (S2)
Universitas Slamet Riyadi,Ilmu Komunikasi (S1)
Universitas Slamet Riyadi,Manajemen (S1)
Universitas Slamet Riyadi,Manajemen (S2)
Universitas Slamet Riyadi,Pendidikan Bahasa Inggris (S1)
Universitas Slamet Riyadi,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
Universitas Slamet Riyadi,Pendidikan Guru Sekolah Dasar (S1)
Universitas Slamet Riyadi,Pendidikan Pancasila Dan Kewarganegaraan (S1)
Universitas Slamet Riyadi,Pendidikan Profesi Guru (Profesi)
Universitas Slamet Riyadi,Pendidikan Teknologi Informasi (S1)
Universitas Slamet Riyadi,Teknologi Hasil Pertanian (S1)
Universitas Slamet Riyadi,Teknologi Pangan (S1)
Sekolah Tinggi Ilmu Hukum Saumlaki,Hukum (S1)
STMIK Balikpapan,Manajemen Informatika (D3)
STMIK Balikpapan,Teknik Informatika (S1)
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,Aktuaria (S1)
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,Bisnis Digital (S1)
Institut Teknologi dan Bisnis Muhammadiyah Purbalingga,Perencanaan Wilayah dan Kota (S1)
STIKES Yarsi Mataram,Administrasi Kesehatan (S1)
STIKES Yarsi Mataram,Farmasi (D3)
STIKES Yarsi Mataram,Ilmu Keperawatan (S1)
STIKES Yarsi Mataram,Kebidanan (D3)
STIKES Yarsi Mataram,Kebidanan (S1)
STIKES Yarsi Mataram,Keperawatan (D3)
STIKES Yarsi Mataram,Ners (Profesi)
STIKES Yarsi Mataram,Pendidikan Profesi Bidan (Profesi)
Sekolah Tinggi Ilmu Ekonomi Ykp,Akuntansi (S1)
Sekolah Tinggi Ilmu Ekonomi Ykp,Akuntansi (D3)
Sekolah Tinggi Ilmu Ekonomi Ykp,Manajemen (S1)
Sekolah Tinggi Ilmu Kesehatan Sehati,Administrasi Rumah Sakit (S1)
Sekolah Tinggi Ilmu Kesehatan Sehati,Kebidanan (D3)
Sekolah Tinggi Ilmu Kesehatan Sehati,Kebidanan (S1)
Sekolah Tinggi Ilmu Kesehatan Sehati,Pendidikan Profesi Bidan (Profesi)
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,Akuntansi (S1)
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,Manajemen (S1)
Sekolah Tinggi Ilmu Ekonomi Santa Ursula,Sekretari (D3)
Sekolah Tinggi Teologi Lintas Budaya Jakarta,Teologi (S2)
Sekolah Tinggi Teologi Lintas Budaya Jakarta,Teologi (Akademik) (S1)
Sekolah Tinggi Teologi Lintas Budaya Jakarta,Teologi Kependetaan (S2)
Institut Agama Islam Negeri Batusangkar,Akuntansi Syari`ah (S1)
Institut Agama Islam Negeri Batusangkar,Bimbingan dan Konseling Pendidikan Islam (S2)
Institut Agama Islam Negeri Batusangkar,Bimbingan Konseling (S1)
Institut Agama Islam Negeri Batusangkar,Ekonomi Syariah (S1)
Institut Agama Islam Negeri Batusangkar,Ekonomi Syariah (S2)
Institut Agama Islam Negeri Batusangkar,Hukum Ekonomi Syariah (S2)
Institut Agama Islam Negeri Batusangkar,Hukum Ekonomi Syariah (Muamalah) (S1)
Institut Agama Islam Negeri Batusangkar,Hukum Keluarga (Ahwal Al Syakhshiyah) (S1)
Institut Agama Islam Negeri Batusangkar,Hukum Keluarga (Ahwal Al-syakhshiyyah) (S2)
Institut Agama Islam Negeri Batusangkar,Hukum Tata Negara (Siyasah) (S1)
Institut Agama Islam Negeri Batusangkar,Ilmu Al-Qur`an dan Tafsir (S1)
Institut Agama Islam Negeri Batusangkar,Ilmu Perpustakaan dan Informasi Islam (S1)
Institut Agama Islam Negeri Batusangkar,Jurnalistik Islam (S1)
Institut Agama Islam Negeri Batusangkar,Komunikasi dan Penyiaran Islam (S1)
Institut Agama Islam Negeri Batusangkar,Manajemen Bisnis Syariah (S1)
Institut Agama Islam Negeri Batusangkar,Manajemen Informatika (D3)
Institut Agama Islam Negeri Batusangkar,Manajemen Pendidikan Islam (S1)
Institut Agama Islam Negeri Batusangkar,Manajemen Pendidikan Islam (S2)
Institut Agama Islam Negeri Batusangkar,Manajemen Zakat dan Wakaf (S1)
Institut Agama Islam Negeri Batusangkar,Pariwisata Syariah (S1)
Institut Agama Islam Negeri Batusangkar,Pemikiran Politik Islam (S1)
Institut Agama Islam Negeri Batusangkar,Pendidikan Agama Islam (S1)
Institut Agama Islam Negeri Batusangkar,Pendidikan Agama Islam (S2)
Institut Agama Islam Negeri Batusangkar,Pendidikan Bahasa Arab (S1)
Institut Agama Islam Negeri Batusangkar,Pendidikan Guru Madrasah Ibtidaiyah (S1)
Institut Agama Islam Negeri Batusangkar,Pendidikan Islam Anak Usia Dini (S1)
Institut Agama Islam Negeri Batusangkar,Pendidikan Profesi Guru Keagamaan (Profesi)
Institut Agama Islam Negeri Batusangkar,Pengembangan Masyarakat Islam (S1)
Institut Agama Islam Negeri Batusangkar,Perbankan Syariah (S1)
Institut Agama Islam Negeri Batusangkar,Psikologi Islam (S1)
Institut Agama Islam Negeri Batusangkar,Tadris Bahasa Inggris (S1)
Institut Agama Islam Negeri Batusangkar,Tadris Biologi (S1)
Institut Agama Islam Negeri Batusangkar,Tadris Fisika (S1)
Institut Agama Islam Negeri Batusangkar,Tadris Kimia (S1)
Institut Agama Islam Negeri Batusangkar,Tadris Matematika (S1)
Universitas Islam Batang Hari,Ekonomi Syariah (S1)
Universitas Islam Batang Hari,Hukum Ekonomi Syariah (S1)
Universitas Islam Batang Hari,Manajemen Pendidikan Islam (S2)
Universitas Islam Batang Hari,Manajemen Pendidikan Islam (S1)
Universitas Islam Batang Hari,Pendidikan Agama Islam (S1)
Universitas Islam Batang Hari,Pendidikan Islam Anak Usia Dini (S1)
Universitas Islam Batang Hari,Perbankan Syariah (S1)
Universitas Islam Batang Hari,Tadris Bahasa Inggris (S1)
Akademi Keperawatan Kesdam I/Bukit Barisan Medan,Keperawatan (D3)
Akademi Sekretari Marsudirini Santa Maria,Sekretari (D3)
Akademi Maritim Indonesia AIPI,Ketatalaksanaan Pelayaran Niaga Dan Kepelabuhan (D3)
Akademi Maritim Indonesia AIPI,Nautika (D3)
Akademi Maritim Indonesia AIPI,Teknika (D3)
Akademi Keperawatan YPIB Majalengka,Keperawatan (D3)
Akademi Keperawatan YPIB Majalengka,Ners (Profesi)
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",Magister Artium (S2)
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",Musik Gereja (S1)
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",Pendidikan Agama Kristen (S1)
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",Teologi (Akademik) (S1)
"Sekolah Tinggi Teologi Bethel The Way, Jakarta",Teologi (Akademik) (S2)
Universitas Negeri Surabaya,Administrasi Negara (D4)
Universitas Negeri Surabaya,Administrasi Negara (D3)
Universitas Negeri Surabaya,Administrasi Publik (S2)
Universitas Negeri Surabaya,Agribisnis Digital (S1)
Universitas Negeri Surabaya,Akuakultur (S1)
Universitas Negeri Surabaya,Akuntansi (S2)
Universitas Negeri Surabaya,Akuntansi (S1)
Universitas Negeri Surabaya,Akuntansi (D3)
Universitas Negeri Surabaya,Analisis Performa Olahraga (D4)
Universitas Negeri Surabaya,Bahasa Inggris (D3)
Universitas Negeri Surabaya,Bimbingan dan Konseling (S2)
Universitas Negeri Surabaya,Bimbingan Dan Konseling (S1)
Universitas Negeri Surabaya,Bimbingan Konseling (S3)
Universitas Negeri Surabaya,Biologi (S1)
Universitas Negeri Surabaya,Biosains Hewan (S1)
Universitas Negeri Surabaya,Bisnis Digital (S1)
Universitas Negeri Surabaya,Desain Grafis (D4)
Universitas Negeri Surabaya,Desain Grafis (D3)
Universitas Negeri Surabaya,Desain Komunikasi Visual (S1)
Universitas Negeri Surabaya,Ekonomi (S1)
Universitas Negeri Surabaya,Ekonomi Islam (S1)
Universitas Negeri Surabaya,Film dan Animasi (S1)
Universitas Negeri Surabaya,Fisika (S2)
Universitas Negeri Surabaya,Fisika (S1)
Universitas Negeri Surabaya,Fisioterapi (S1)
Universitas Negeri Surabaya,Gizi (S1)
Universitas Negeri Surabaya,Hubungan Internasional (S1)
Universitas Negeri Surabaya,Hukum (S2)
Universitas Negeri Surabaya,Ilmu Administrasi Negara (S1)
Universitas Negeri Surabaya,Ilmu Hukum (S1)
Universitas Negeri Surabaya,Ilmu Hukum (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Ilmu Keolahragaan (S3)
Universitas Negeri Surabaya,Ilmu Keolahragaan (S2)
Universitas Negeri Surabaya,Ilmu Keolahragaan (S1)
Universitas Negeri Surabaya,Ilmu Komunikasi (S1)
Universitas Negeri Surabaya,Ilmu Komunikasi (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Ilmu Pendidikan (S3)
Universitas Negeri Surabaya,Ilmu Politik (S1)
Universitas Negeri Surabaya,Informatika (S2)
Universitas Negeri Surabaya,Informatika (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Kebidanan (S1)
Universitas Negeri Surabaya,Kecerdasan Artifisial (S1)
Universitas Negeri Surabaya,Kedokteran (S1)
Universitas Negeri Surabaya,Kepelatihan Olahraga (D3)
Universitas Negeri Surabaya,Kepelatihan Olahraga (D4)
Universitas Negeri Surabaya,Kepelatihan Olahraga (S2)
Universitas Negeri Surabaya,Keperawatan (S1)
Universitas Negeri Surabaya,Keuangan dan Perbankan (D3)
Universitas Negeri Surabaya,Kimia (S1)
Universitas Negeri Surabaya,Kimia (S2)
Universitas Negeri Surabaya,Komputerisasi Akuntansi (D3)
Universitas Negeri Surabaya,Manajemen (S3)
Universitas Negeri Surabaya,Manajemen (S1)
Universitas Negeri Surabaya,Manajemen (S2)
Universitas Negeri Surabaya,Manajemen (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Manajemen Informatika (D3)
Universitas Negeri Surabaya,Manajemen Informatika (D4)
Universitas Negeri Surabaya,Manajemen Olahraga (S1)
Universitas Negeri Surabaya,Manajemen Olahraga (S2)
Universitas Negeri Surabaya,Manajemen Pendidikan (S3)
Universitas Negeri Surabaya,Manajemen Pendidikan (S2)
Universitas Negeri Surabaya,Manajemen Pendidikan (S1)
Universitas Negeri Surabaya,Masase (S1)
Universitas Negeri Surabaya,Matematika (S2)
Universitas Negeri Surabaya,Matematika (S1)
Universitas Negeri Surabaya,Musik (S1)
Universitas Negeri Surabaya,Ners (Profesi)
Universitas Negeri Surabaya,Pariwisata (S1)
Universitas Negeri Surabaya,Pendidikan Administrasi Perkantoran (S1)
Universitas Negeri Surabaya,Pendidikan Akuntansi (S1)
Universitas Negeri Surabaya,Pendidikan Anak Usia Dini (S2)
Universitas Negeri Surabaya,Pendidikan Bahasa dan Sastra (S2)
Universitas Negeri Surabaya,Pendidikan Bahasa dan Sastra (S3)
Universitas Negeri Surabaya,Pendidikan Bahasa Dan Sastra Indonesia (S1)
Universitas Negeri Surabaya,Pendidikan Bahasa Dan Sastra Jawa (S1)
Universitas Negeri Surabaya,Pendidikan Bahasa Indonesia (S2)
Universitas Negeri Surabaya,Pendidikan Bahasa Inggris (S1)
Universitas Negeri Surabaya,Pendidikan Bahasa Inggris (S2)
Universitas Negeri Surabaya,Pendidikan Bahasa Jepang (S1)
Universitas Negeri Surabaya,Pendidikan Bahasa Jerman (S1)
Universitas Negeri Surabaya,Pendidikan Bahasa Mandarin (S1)
Universitas Negeri Surabaya,Pendidikan Biologi (S2)
Universitas Negeri Surabaya,Pendidikan Biologi (S1)
Universitas Negeri Surabaya,Pendidikan Bisnis (S1)
Universitas Negeri Surabaya,Pendidikan Calon Pendidik Akademi Komunitas (S1)
Universitas Negeri Surabaya,Pendidikan Dasar (S2)
Universitas Negeri Surabaya,Pendidikan Dasar (S3)
Universitas Negeri Surabaya,Pendidikan Ekonomi (S1)
Universitas Negeri Surabaya,Pendidikan Ekonomi (S3)
Universitas Negeri Surabaya,Pendidikan Ekonomi (S2)
Universitas Negeri Surabaya,Pendidikan Fisika (S2)
Universitas Negeri Surabaya,Pendidikan Fisika (S1)
Universitas Negeri Surabaya,Pendidikan Geografi (S2)
Universitas Negeri Surabaya,Pendidikan Geografi (S1)
Universitas Negeri Surabaya,Pendidikan Guru Pendidikan Anak Usia Dini (S1)
Universitas Negeri Surabaya,Pendidikan Guru Sekolah Dasar (S1)
Universitas Negeri Surabaya,Pendidikan Guru Sekolah Dasar (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Pendidikan Ilmu Pengetahuan Alam (S1)
Universitas Negeri Surabaya,Pendidikan Ilmu Pengetahuan Sosial (S3)
Universitas Negeri Surabaya,Pendidikan Inklusi (S3)
Universitas Negeri Surabaya,Pendidikan IPS (S1)
Universitas Negeri Surabaya,Pendidikan IPS (S2)
Universitas Negeri Surabaya,Pendidikan Jasmani (S3)
Universitas Negeri Surabaya,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (S1)"
Universitas Negeri Surabaya,"Pendidikan Jasmani, Kesehatan, dan Rekreasi (Kampus Kabupaten Magetan) (S1)"
Universitas Negeri Surabaya,Pendidikan Kepelatihan Olahraga (S1)
Universitas Negeri Surabaya,Pendidikan Kesejahteraan Keluarga (S1)
Universitas Negeri Surabaya,Pendidikan Kimia (S1)
Universitas Negeri Surabaya,Pendidikan Luar Biasa (S2)
Universitas Negeri Surabaya,Pendidikan Luar Biasa (S1)
Universitas Negeri Surabaya,Pendidikan Luar Sekolah (S2)
Universitas Negeri Surabaya,Pendidikan Luar Sekolah (S1)
Universitas Negeri Surabaya,Pendidikan Matematika (S1)
Universitas Negeri Surabaya,Pendidikan Matematika (S3)
Universitas Negeri Surabaya,Pendidikan Matematika (S2)
Universitas Negeri Surabaya,Pendidikan Matematika (Kampus Kabupaten Magetan) (S1)
Universitas Negeri Surabaya,Pendidikan Olahraga (S2)
Universitas Negeri Surabaya,Pendidikan Pancasila dan Kewarganegaraan (S2)
Universitas Negeri Surabaya,Pendidikan Pancasila Dan Kewarganegaraan (S1)
Universitas Negeri Surabaya,Pendidikan Profesi Bidan (Profesi)
